Handle,WPM,link
danat_ayazbayev,115.34,https://data.typeracer.com/pit/profile?user=danat_ayazbayev
bayemirov,110.9,https://data.typeracer.com/pit/profile?user=bayemirov
shamil_98,110.65,https://data.typeracer.com/pit/profile?user=shamil_98
bexultan,110.05,https://data.typeracer.com/pit/profile?user=bexultan
baurtokenov,108.97,https://data.typeracer.com/pit/profile?user=baurtokenov
10bd02006,105.41,https://data.typeracer.com/pit/profile?user=10bd02006
bekzhan29,102.64,https://data.typeracer.com/pit/profile?user=bekzhan29
justaidyn,102.54,https://data.typeracer.com/pit/profile?user=justaidyn
rus101,102.28,https://data.typeracer.com/pit/profile?user=rus101
pro005,101.66,https://data.typeracer.com/pit/profile?user=pro005
tvuan,101.64,https://data.typeracer.com/pit/profile?user=tvuan
alikhan880,101.45,https://data.typeracer.com/pit/profile?user=alikhan880
dsquared_210t93,98.94,https://data.typeracer.com/pit/profile?user=dsquared_210t93
kajohnny,97.5,https://data.typeracer.com/pit/profile?user=kajohnny
farick92,97.32,https://data.typeracer.com/pit/profile?user=farick92
mariaotonashi,97.3,https://data.typeracer.com/pit/profile?user=mariaotonashi
phmi,96.95,https://data.typeracer.com/pit/profile?user=phmi
mtemirulan,96.3,https://data.typeracer.com/pit/profile?user=mtemirulan
dohchuk,96.29,https://data.typeracer.com/pit/profile?user=dohchuk
tursabihami,95.72,https://data.typeracer.com/pit/profile?user=tursabihami
kanatkz,95.63,https://data.typeracer.com/pit/profile?user=kanatkz
_paradox_,95.62,https://data.typeracer.com/pit/profile?user=_paradox_
yesenarman,92.98,https://data.typeracer.com/pit/profile?user=yesenarman
gzip1,92.47,https://data.typeracer.com/pit/profile?user=gzip1
kayoshi,92.2,https://data.typeracer.com/pit/profile?user=kayoshi
ayanduisenbekov03,91.93,https://data.typeracer.com/pit/profile?user=ayanduisenbekov03
gunner8,91.79,https://data.typeracer.com/pit/profile?user=gunner8
tsukerk1,91.43,https://data.typeracer.com/pit/profile?user=tsukerk1
adilkhanove,90.82,https://data.typeracer.com/pit/profile?user=adilkhanove
elibay98,90.08,https://data.typeracer.com/pit/profile?user=elibay98
leito1,89.9,https://data.typeracer.com/pit/profile?user=leito1
batyyr,89.67,https://data.typeracer.com/pit/profile?user=batyyr
mrnull,88.84,https://data.typeracer.com/pit/profile?user=mrnull
atomixa,88.53,https://data.typeracer.com/pit/profile?user=atomixa
azaatabayev,87.96,https://data.typeracer.com/pit/profile?user=azaatabayev
ho1den,87.95,https://data.typeracer.com/pit/profile?user=ho1den
dulattypes,87.51,https://data.typeracer.com/pit/profile?user=dulattypes
allitalmaty,87.17,https://data.typeracer.com/pit/profile?user=allitalmaty
arman01,87.03,https://data.typeracer.com/pit/profile?user=arman01
skanafin,86.89,https://data.typeracer.com/pit/profile?user=skanafin
zhandos,86.49,https://data.typeracer.com/pit/profile?user=zhandos
an10im4ik,86.2,https://data.typeracer.com/pit/profile?user=an10im4ik
kh_akezhan,86.15,https://data.typeracer.com/pit/profile?user=kh_akezhan
zak_roger,86.08,https://data.typeracer.com/pit/profile?user=zak_roger
hereugo,85.8,https://data.typeracer.com/pit/profile?user=hereugo
hell_den17,85.64,https://data.typeracer.com/pit/profile?user=hell_den17
nurgiss,85.59,https://data.typeracer.com/pit/profile?user=nurgiss
realikh,85.3,https://data.typeracer.com/pit/profile?user=realikh
lukcy,85.27,https://data.typeracer.com/pit/profile?user=lukcy
